iter	Passed	Remaining
141	488	2948
142	490	2937
143	492	2926
144	498	2938
145	501	2932
146	503	2921
147	505	2909
148	509	2908
149	512	2904
150	515	2896
151	517	2885
152	521	2884
153	523	2874
154	525	2863
155	527	2852
156	529	2841
157	533	2840
158	535	2830
159	537	2820
160	540	2816
161	543	2809
162	545	2800
163	547	2791
164	549	2781
165	551	2770
166	553	2758
167	555	2749
168	557	2739
169	559	2730
170	562	2726
171	564	2717
172	566	2709
173	568	2699
174	570	2690
175	572	2680
176	574	2671
177	578	2673
178	581	2665
179	583	2656
180	585	2648
181	587	2639
182	589	2630
183	591	2624
184	595	2624
185	597	2615
186	599	2607
187	601	2598
188	603	2590
189	607	2587
190	610	2587
191	613	2581
192	615	2571
193	616	2562
194	619	2559
195	621	2550
196	623	2540
197	624	2530
198	631	2540
199	634	2538
200	636	2531
201	639	2525
202	641	2518
203	643	2510
204	651	2525
205	653	2518
206	655	2510
207	656	2501
208	658	2492
209	661	2490
210	664	2484
211	666	2476
212	667	2467
213	669	2460
214	672	2454
215	673	2446
216	675	2437
217	677	2429
218	678	2420
219	681	2415
220	684	2411
221	685	2403
222	688	2399
223	691	2395
224	693	2387
225	695	2380
226	696	2372
227	698	2365
228	701	2360
229	703	2353
230	705	2349
231	707	2343
232	709	2335
233	710	2327
234	714	2326
235	716	2320
236	724	2331
237	726	2325
238	728	2318
239	730	2312
240	733	2311
241	735	2305
242	739	2303
243	741	2296
244	743	2289
245	745	2284
246	746	2277
247	748	2269
248	750	2262
249	751	2255
250	753	2249
251	755	2243
252	757	2236
253	759	2229
254	762	2227
255	764	2221
256	766	2214
257	767	2208
258	769	2201
259	770	2193
260	772	2187
261	774	2181
262	776	2174
263	778	2169
264	779	2162
265	781	2155
266	782	2147
267	784	2143
268	786	2137
269	788	2131
270	789	2125
271	791	2118
272	794	2116
273	797	2111
274	798	2105
275	800	2098
276	801	2092
277	803	2086
278	806	2084
279	808	2078
280	811	2076
281	813	2070
282	814	2063
283	818	2063
284	820	2058
285	822	2053
286	824	2047
287	826	2042
288	829	2040
289	831	2034
290	832	2028
291	834	2022
292	835	2016
293	837	2010
294	841	2010
295	843	2005
296	845	2000
297	846	1994
298	848	1989
299	850	1985
300	853	1981
301	856	1979
302	858	1974
303	862	1975
304	865	1971
305	867	1967
306	869	1963
307	871	1958
308	873	1954
309	876	1950
310	881	1953
311	885	1952
312	887	1947
313	889	1942
314	893	1941
315	894	1937
316	900	1940
317	902	1936
318	904	1931
319	907	1928
320	909	1923
321	917	1931
322	919	1927
323	921	1922
324	923	1918
325	926	1915
326	928	1911
327	931	1909
328	934	1905
329	937	1903
330	943	1906
331	945	1902
332	948	1899
333	950	1896
334	954	1894
335	957	1892
336	960	1889
337	965	1890
338	968	1888
339	971	1886
340	974	1882
341	976	1878
342	982	1882
343	984	1878
344	986	1873
345	988	1868
346	993	1868
347	994	1864
348	997	1861
349	1005	1866
350	1007	1863
351	1009	1859
352	1013	1857
353	1015	1852
354	1017	1848
355	1019	1844
356	1021	1840
357	1023	1835
358	1026	1833
359	1028	1828
360	1030	1823
361	1032	1820
362	1034	1816
363	1036	1811
364	1038	1807
365	1042	1805
366	1044	1801
367	1046	1796
368	1049	1795
369	1051	1790
370	1053	1786
371	1057	1785
372	1067	1794
373	1069	1789
374	1073	1788
375	1082	1796
376	1084	1792
377	1086	1788
378	1088	1783
379	1090	1778
380	1092	1774
381	1093	1769
382	1095	1765
383	1097	1760
384	1098	1755
385	1100	1750
386	1102	1746
387	1104	1741
388	1106	1738
389	1109	1734
390	1111	1731
391	1113	1727
392	1115	1723
393	1121	1725
394	1124	1721
395	1125	1717
396	1127	1713
397	1129	1708
398	1132	1705
399	1134	1701
400	1138	1700
401	1146	1704
402	1149	1702
403	1156	1705
404	1158	1702
405	1161	1698
406	1165	1698
407	1167	1694
408	1169	1690
409	1177	1694
410	1179	1690
411	1181	1686
412	1183	1682
413	1186	1679
414	1188	1675
415	1190	1671
416	1192	1666
417	1193	1661
418	1195	1657
419	1197	1653
420	1199	1649
421	1200	1644
422	1202	1640
423	1203	1635
424	1206	1632
425	1208	1628
426	1210	1623
427	1211	1619
428	1213	1614
429	1214	1610
430	1221	1612
431	1223	1608
432	1225	1604
433	1231	1605
434	1237	1606
435	1239	1602
436	1241	1599
437	1249	1602
438	1256	1605
439	1261	1605
440	1264	1602
441	1266	1598
442	1268	1595
443	1276	1598
444	1278	1594
445	1280	1591
446	1284	1588
447	1286	1585
448	1288	1581
449	1290	1577
450	1292	1573
451	1297	1573
452	1301	1571
453	1302	1566
454	1305	1563
455	1307	1559
456	1309	1555
457	1311	1551
458	1313	1548
459	1316	1544
460	1318	1541
461	1320	1537
462	1323	1535
463	1326	1531
464	1329	1529
465	1330	1525
466	1333	1521
467	1334	1517
468	1336	1513
469	1338	1509
470	1339	1504
471	1341	1500
472	1344	1498
473	1346	1494
474	1347	1489
475	1349	1485
476	1351	1481
477	1353	1477
478	1354	1473
479	1356	1469
480	1359	1467
481	1361	1463
482	1363	1459
483	1364	1455
484	1366	1451
485	1368	1446
486	1370	1443
487	1372	1439
488	1374	1436
489	1376	1432
490	1378	1428
491	1380	1425
492	1382	1421
493	1384	1418
494	1388	1416
495	1390	1413
496	1392	1409
497	1395	1406
498	1397	1402
499	1398	1398
500	1404	1398
501	1406	1395
502	1408	1391
503	1410	1388
504	1412	1384
505	1414	1380
506	1416	1377
507	1422	1377
508	1426	1376
509	1433	1377
510	1437	1375
511	1442	1375
512	1445	1372
513	1455	1376
514	1458	1373
515	1461	1370
516	1464	1368
517	1473	1370
518	1475	1367
519	1478	1364
520	1480	1361
521	1482	1357
522	1489	1358
523	1491	1355
524	1494	1351
525	1497	1349
526	1501	1347
527	1503	1344
528	1513	1347
529	1516	1344
530	1517	1340
531	1521	1338
532	1525	1336
533	1528	1333
534	1531	1330
535	1536	1329
536	1539	1327
537	1542	1324
538	1549	1325
539	1552	1322
540	1554	1319
541	1557	1316
542	1560	1312
543	1563	1310
544	1566	1308
545	1568	1304
546	1571	1301
547	1573	1298
548	1575	1294
549	1578	1291
550	1579	1287
551	1582	1284
552	1586	1282
553	1587	1278
554	1589	1274
555	1591	1270
556	1593	1267
557	1594	1263
558	1597	1260
559	1599	1256
560	1601	1253
561	1602	1248
562	1604	1245
563	1606	1241
564	1608	1238
565	1610	1234
566	1612	1231
567	1613	1227
568	1617	1224
569	1618	1221
570	1620	1217
571	1621	1213
572	1624	1210
573	1627	1208
574	1629	1204
575	1630	1200
576	1632	1196
577	1634	1193
578	1635	1189
579	1637	1185
580	1638	1181
581	1640	1178
582	1641	1174
583	1643	1170
584	1646	1167
585	1650	1166
586	1654	1163
587	1655	1160
588	1657	1156
589	1659	1152
590	1666	1153
591	1668	1150
592	1670	1146
593	1672	1143
594	1674	1139
595	1678	1137
596	1681	1134
597	1683	1131
598	1686	1128
599	1689	1126
600	1691	1122
601	1694	1120
602	1699	1119
603	1701	1115
604	1703	1112
605	1704	1108
606	1708	1106
607	1710	1102
608	1712	1099
609	1714	1096
610	1716	1092
611	1718	1089
612	1719	1085
613	1721	1082
614	1723	1078
615	1724	1075
616	1727	1072
617	1729	1068
618	1732	1066
619	1736	1064
620	1738	1060
621	1739	1057
622	1741	1053
623	1743	1050
624	1745	1047
625	1747	1044
626	1752	1042
627	1754	1039
628	1757	1036
629	1758	1033
630	1760	1029
631	1762	1026
632	1763	1022
633	1765	1019
634	1767	1015
635	1768	1012
636	1770	1008
637	1772	1005
638	1773	1002
639	1775	998
640	1777	995
641	1779	992
642	1781	989
643	1782	985
644	1784	981
645	1787	979
646	1788	975
647	1793	974
648	1794	970
649	1796	967
650	1798	964
651	1800	960
652	1803	958
653	1806	955
654	1808	952
655	1810	949
656	1812	946
657	1814	942
658	1818	940
659	1819	937
660	1821	934
661	1823	931
662	1827	929
663	1829	925
664	1831	922
665	1832	919
666	1834	915
667	1835	912
668	1838	909
669	1840	906
670	1842	903
671	1843	899
672	1845	896
673	1847	893
674	1849	890
675	1851	887
676	1854	884
677	1856	881
678	1857	878
679	1860	875
680	1861	872
681	1864	869
682	1867	866
683	1869	863
684	1871	860
685	1874	857
686	1876	854
687	1879	852
688	1882	849
689	1885	847
690	1889	844
691	1891	841
692	1893	838
693	1895	835
694	1897	832
695	1900	830
696	1903	827
697	1905	824
698	1907	821
699	1910	818
700	1912	815
701	1915	812
702	1917	810
703	1920	807
704	1922	804
705	1924	801
706	1926	798
707	1928	795
708	1931	792
709	1933	789
710	1935	786
711	1937	783
712	1939	780
713	1941	777
714	1943	774
715	1946	772
716	1949	769
717	1952	766
718	1955	764
719	1958	761
720	1960	758
721	1961	755
722	1964	752
723	1966	749
724	1968	746
725	1970	743
726	1972	740
727	1974	737
728	1978	735
729	1979	732
730	1981	729
731	1982	726
732	1984	722
733	1987	720
734	1989	717
735	1990	714
736	1992	710
737	1993	707
738	1996	705
739	1998	702
740	2001	699
741	2003	696
742	2005	693
743	2007	690
744	2009	687
745	2010	684
746	2017	683
747	2019	680
748	2021	677
749	2026	675
750	2029	672
751	2032	670
752	2035	667
753	2038	664
754	2039	661
755	2045	660
756	2047	657
757	2049	654
758	2052	651
759	2054	648
760	2056	645
761	2058	642
762	2063	640
763	2065	638
764	2067	635
765	2069	632
766	2073	629
767	2075	626
768	2077	623
769	2081	621
770	2085	619
771	2089	617
772	2094	615
773	2096	612
774	2100	609
775	2102	606
776	2104	603
777	2106	601
778	2108	598
779	2110	595
780	2113	592
781	2118	590
782	2122	588
783	2125	585
784	2127	582
785	2129	579
786	2132	577
787	2135	574
788	2139	572
789	2141	569
790	2143	566
791	2145	563
792	2147	560
793	2155	559
794	2159	556
795	2161	553
796	2163	551
797	2167	548
798	2173	546
799	2175	543
800	2177	541
801	2179	538
802	2181	535
803	2183	532
804	2186	529
805	2189	526
806	2191	524
807	2193	521
808	2195	518
809	2197	515
810	2199	512
811	2202	510
812	2205	507
813	2208	504
814	2210	501
815	2212	498
816	2214	496
817	2216	493
818	2221	490
819	2225	488
820	2230	486
821	2232	483
822	2237	481
823	2240	478
824	2243	475
825	2245	473
826	2248	470
827	2252	467
828	2254	465
829	2259	462
830	2266	460
831	2268	458
832	2271	455
833	2274	452
834	2277	450
835	2279	447
836	2280	444
837	2283	441
838	2285	438
839	2286	435
840	2290	433
841	2292	430
842	2294	427
843	2296	424
844	2298	421
845	2300	418
846	2303	416
847	2306	413
848	2308	410
849	2310	407
850	2311	404
851	2314	402
852	2316	399
853	2317	396
854	2320	393
855	2323	390
856	2325	387
857	2326	385
858	2328	382
859	2330	379
860	2332	376
861	2335	373
862	2337	371
863	2339	368
864	2341	365
865	2342	362
866	2344	359
867	2346	356
868	2349	354
869	2353	351
870	2355	348
871	2357	345
872	2358	343
873	2360	340
874	2361	337
875	2363	334
876	2364	331
877	2366	328
878	2368	326
879	2369	323
880	2372	320
881	2373	317
882	2375	314
883	2377	311
884	2379	309
885	2381	306
886	2384	303
887	2385	300
888	2387	298
889	2389	295
890	2390	292
891	2393	289
892	2395	287
893	2397	284
894	2400	281
895	2401	278
896	2403	275
897	2405	273
898	2407	270
899	2410	267
900	2412	265
901	2414	262
902	2415	259
903	2418	256
904	2420	254
905	2422	251
906	2423	248
907	2425	245
908	2426	242
909	2429	240
910	2430	237
911	2433	234
912	2434	232
913	2436	229
914	2438	226
915	2441	223
916	2444	221
917	2446	218
918	2448	215
919	2450	213
920	2452	210
921	2455	207
922	2458	205
923	2460	202
924	2462	199
925	2464	196
926	2466	194
927	2468	191
928	2470	188
929	2472	186
930	2476	183
931	2479	180
932	2480	178
933	2482	175
934	2484	172
935	2486	170
936	2488	167
937	2490	164
938	2492	161
939	2495	159
940	2497	156
941	2500	153
942	2502	151
943	2505	148
944	2507	145
945	2512	143
946	2514	140
947	2516	138
948	2518	135
949	2521	132
950	2525	130
951	2527	127
952	2529	124
953	2533	122
954	2535	119
955	2537	116
956	2539	114
957	2541	111
958	2544	108
959	2546	106
960	2548	103
961	2551	100
962	2552	98
963	2554	95
964	2556	92
965	2558	90
966	2560	87
967	2563	84
968	2565	82
969	2567	79
970	2568	76
971	2570	74
972	2573	71
973	2576	68
974	2578	66
975	2580	63
976	2581	60
977	2584	58
978	2586	55
979	2588	52
980	2589	50
981	2591	47
982	2593	44
983	2594	42
984	2597	39
985	2599	36
986	2600	34
987	2602	31
988	2603	28
989	2606	26
990	2608	23
991	2610	21
992	2612	18
993	2616	15
994	2621	13
995	2623	10
996	2625	7
997	2628	5
998	2630	2
999	2632	0
