iter	Logloss
0	0.5631429
1	0.465918342
2	0.4051303177
3	0.3485425222
4	0.2993493389
5	0.2702903199
6	0.2436679319
7	0.2258442117
8	0.2096131414
9	0.1995733522
10	0.1886364779
11	0.177092957
12	0.170935226
13	0.1621967837
14	0.154084926
15	0.1476677682
16	0.1414254278
17	0.1346120354
18	0.132160324
19	0.1283794101
20	0.125853216
21	0.1212447461
22	0.1187689527
23	0.1173973907
24	0.1149734113
25	0.111783453
26	0.1091617749
27	0.1067339396
28	0.1043187011
29	0.1021865461
30	0.09954967773
31	0.09730341795
32	0.09507557986
33	0.09333724427
34	0.09044365231
35	0.08853809439
36	0.08708070851
37	0.08432414377
38	0.08173702432
39	0.08058631677
40	0.07874097755
41	0.07808218757
42	0.07683251745
43	0.07540140907
44	0.0744016222
45	0.0731539692
46	0.07206981988
47	0.07098450421
48	0.07018592889
49	0.06945756871
50	0.06797369264
51	0.06641330993
52	0.06469261389
53	0.06343615141
54	0.06251871672
55	0.06061326171
56	0.05922313388
57	0.05843413648
58	0.05735342451
59	0.05662942447
60	0.05423656985
61	0.0535701196
62	0.05264061303
63	0.05241892149
64	0.05114989658
65	0.05005238554
66	0.04947942967
67	0.0482298899
68	0.04739792227
69	0.04698421629
70	0.04643373009
71	0.04590222132
72	0.04480828484
73	0.04422805978
74	0.04378287226
75	0.04249694193
76	0.04181208027
77	0.04095704264
78	0.04039611062
79	0.03932886673
80	0.03887190922
81	0.0381790957
82	0.03759018466
83	0.03713584461
84	0.03666630409
85	0.03621673584
86	0.03579866629
87	0.03526707519
88	0.03519767651
89	0.0344476837
90	0.03402978911
91	0.03367001376
92	0.03323171808
93	0.03267960926
94	0.03232592644
95	0.03196889548
96	0.03116907147
97	0.03067028951
98	0.03039680454
99	0.03010177269
100	0.02970358622
101	0.02912649662
102	0.02878436768
103	0.02855621653
104	0.02830034023
105	0.02815061336
106	0.02776718997
107	0.02736706013
108	0.02708890627
109	0.02648357693
110	0.02627217341
111	0.02594195167
112	0.02563560781
113	0.02507440478
114	0.02468947541
115	0.02445240501
116	0.02417639863
117	0.02396705168
118	0.02372404826
119	0.02357116706
120	0.02308709673
121	0.02281084335
122	0.02262904147
123	0.02230778529
124	0.02217750755
125	0.02213641036
126	0.02206780242
127	0.02189947547
128	0.02155668615
129	0.02130585094
130	0.02115741222
131	0.02085982638
132	0.02055632296
133	0.02011430864
134	0.01991040244
135	0.01968921346
136	0.01949893828
137	0.01935594717
138	0.01928318833
139	0.01896506762
140	0.01885197832
141	0.01867324843
142	0.01858985338
143	0.01854782996
144	0.01818006502
145	0.01813191476
146	0.01782485221
147	0.01776647568
148	0.01770992416
149	0.01752067984
150	0.01738068697
151	0.01732006004
152	0.01723039408
153	0.01709476478
154	0.01690510537
155	0.0165677448
156	0.01637538045
157	0.01619904333
158	0.01600303924
159	0.01595985632
160	0.01566960657
161	0.0155417679
162	0.01530422581
163	0.01513922986
164	0.01501073769
165	0.01478771169
166	0.01470073522
167	0.01464708589
168	0.0145451731
169	0.01446123603
